iter	Logloss
0	0.6830403056
1	0.6756243788
2	0.669455037
3	0.6642628685
4	0.6606390574
5	0.6577019922
6	0.655178729
7	0.653228792
8	0.6515208161
9	0.649854726
10	0.6488071021
11	0.6476023638
12	0.6467816629
13	0.6459253404
14	0.6445680088
15	0.6415228238
16	0.6405264188
17	0.6393963692
18	0.6392057116
19	0.6384601547
20	0.6380518127
21	0.6374282693
22	0.6365105955
23	0.6359976802
24	0.6354941668
25	0.6347299048
26	0.634025589
27	0.6339731369
28	0.6339263532
29	0.6338173923
30	0.6336327029
31	0.6324694409
32	0.6298496189
33	0.6286720269
34	0.6285317234
35	0.6270013209
36	0.6252502822
37	0.6246966628
38	0.6242048221
39	0.622729765
40	0.6223504442
41	0.6218003824
42	0.6208297415
43	0.6204315707
44	0.6201391445
45	0.6199490345
46	0.6196191346
47	0.619259084
48	0.6183349241
49	0.6179881551
50	0.6175383511
51	0.6165739803
52	0.6158246176
53	0.6158146671
54	0.6151692688
55	0.6146400277
56	0.6139851243
57	0.6135655213
58	0.613184293
59	0.6129470638
60	0.6128554616
61	0.6126665658
62	0.6122875138
63	0.6117257884
64	0.6114319785
65	0.6109106649
66	0.6105627837
67	0.6102173172
68	0.6094721609
69	0.60947216
70	0.6089890405
71	0.6086076834
72	0.6083816261
73	0.6083056838
74	0.6079944249
75	0.6078609371
76	0.6075954978
77	0.6074999212
78	0.6071977814
79	0.6066172279
80	0.606559334
81	0.6061427142
82	0.6058324559
83	0.60559903
84	0.6044697995
85	0.6038628685
86	0.6033259724
87	0.6029574302
88	0.6029574257
89	0.6025463393
90	0.6015674325
91	0.6014552415
92	0.601283398
93	0.600699136
94	0.6005356104
95	0.5998912682
96	0.5994811435
97	0.5989886741
98	0.5982695411
99	0.5976675049
100	0.5968577626
101	0.5963839674
102	0.5959522529
103	0.5957581235
104	0.5953346287
105	0.5952869974
106	0.5944862252
107	0.5936071817
108	0.5929746299
109	0.5926171432
110	0.5920857006
111	0.5915187549
112	0.590459267
113	0.5900190909
114	0.5892164386
115	0.5889292885
116	0.5872247352
117	0.5867355031
118	0.5862718664
119	0.5849372086
120	0.5843092131
