iter	Logloss
121	0.5834396866
122	0.5827789125
123	0.582357277
124	0.581925523
125	0.5812534755
126	0.5809525675
127	0.5804406963
128	0.5798452387
129	0.5794903524
130	0.579293083
131	0.577929313
132	0.5776288006
133	0.5769522801
134	0.576192749
135	0.575684778
136	0.5753499064
137	0.5747724676
138	0.5742825011
139	0.5739252793
140	0.5735563819
141	0.5731082132
142	0.5725221658
143	0.5723693066
144	0.5723012468
145	0.571863126
146	0.5713099802
147	0.571153689
148	0.5703924566
149	0.5701088001
150	0.5700053561
151	0.5694867763
152	0.5690959862
153	0.5687334726
154	0.568527119
155	0.5679465413
156	0.5675653082
157	0.5673475006
158	0.5669348178
159	0.5663665631
160	0.5656431929
161	0.5653670915
162	0.5646676692
163	0.5644817767
164	0.5643277119
165	0.5641084721
166	0.5637854589
167	0.5635703058
168	0.5628198964
169	0.562548315
170	0.5620378384
171	0.5612854089
172	0.5610719027
173	0.5602612848
174	0.559655171
175	0.55881359
176	0.5584000456
177	0.557991566
178	0.5574970594
179	0.5570478153
180	0.5569953367
181	0.5563958374
182	0.5560067264
183	0.5552373127
184	0.5547100842
185	0.5542555136
186	0.5538087711
187	0.5533739976
188	0.553126077
189	0.55262376
190	0.5524988274
191	0.5522999456
192	0.5519501778
193	0.5513179681
194	0.5509625786
195	0.5502865783
196	0.5498448863
197	0.5496907755
198	0.549505381
199	0.5491500508
200	0.5485368854
201	0.5482626273
202	0.5479808397
203	0.5475193717
204	0.5471549107
205	0.5466836235
206	0.5464807784
207	0.5459398817
208	0.5455512898
209	0.5450268594
210	0.5447725657
211	0.5445794689
212	0.5438280774
213	0.5433827537
214	0.5428580352
215	0.5426132416
216	0.5422372197
217	0.5420028415
218	0.5415837714
219	0.5410963187
220	0.5403050335
221	0.5396509733
222	0.5394691393
223	0.5391808809
224	0.5387138822
225	0.5385649682
226	0.5384577238
227	0.5381280518
228	0.5378202167
229	0.5375679931
230	0.5372453433
231	0.5370081197
232	0.5366971166
233	0.5361588418
234	0.5360324512
235	0.5358712721
236	0.5357505761
237	0.5352791899
238	0.5347627145
239	0.5344785484
240	0.534114356
241	0.5334820905
242	0.5332068117
243	0.5329348233
244	0.5327049377
245	0.5322414613
246	0.5318852983
247	0.5317337892
248	0.531577857
249	0.5311005199
250	0.5307900707
251	0.5306725325
252	0.5299336334
253	0.5297795665
254	0.5291993917
255	0.528688828
256	0.528488858
257	0.5275832117
258	0.5271794693
259	0.5269406864
260	0.5264276174
261	0.5261431331
262	0.526003492
263	0.5256420323
264	0.5253896957
265	0.5252820318
266	0.5248388721
267	0.5243863835
268	0.5241883971
269	0.523485257
270	0.5232059534
271	0.5227270729
272	0.5223802163
273	0.5222441471
274	0.5222001721
275	0.5218378775
276	0.521601043
277	0.5213534506
278	0.5212285627
279	0.5209271039
280	0.5205631242
281	0.5203454119
282	0.5201208595
283	0.519913175
284	0.5196513518
285	0.5193255747
286	0.5190378666
287	0.5184747393
288	0.5182883829
289	0.5179792082
290	0.5176973559
291	0.5172283948
292	0.5167030716
293	0.5165568708
294	0.5162945692
295	0.516068163
296	0.5157956176
297	0.5150571766
298	0.5146473494
299	0.5144467252
300	0.5141611462
301	0.5137757318
302	0.5136923029
303	0.5136425256
304	0.5134379295
305	0.5132501258
306	0.513157964
307	0.5129893387
308	0.5127711193
309	0.5122185801
310	0.5117653201
311	0.5115193833
312	0.5111930948
313	0.5107959808
314	0.5103709181
315	0.5099676667
316	0.5097971448
317	0.5096894953
318	0.509312712
319	0.5090788171
320	0.508941942
321	0.5088759265
322	0.5086456246
323	0.5081504013
324	0.5080247861
325	0.5076280654
326	0.5070009705
327	0.5067460373
328	0.5065961792
329	0.5064136674
330	0.5061915736
331	0.5058967537
332	0.5055242461
333	0.5053853929
334	0.5052529475
335	0.5049056476
336	0.5045061601
337	0.5042074123
338	0.5038175065
339	0.5032034023
340	0.5030628772
341	0.502934034
342	0.502464944
343	0.5022174394
344	0.5019026958
345	0.5017278517
346	0.5012887895
347	0.5009052941
348	0.5005645624
349	0.5002795332
350	0.5000290247
351	0.4997124009
352	0.4994438937
353	0.4990544774
354	0.4987708869
355	0.4984761932
356	0.4978849492
357	0.4974759135
358	0.497290752
359	0.4970320437
360	0.4965647804
361	0.4962093366
362	0.4957932789
363	0.4955229728
364	0.4952969634
365	0.4949442074
366	0.4946838986
367	0.4943379599
368	0.4941250659
369	0.4940037044
370	0.4937617984
371	0.4936607945
372	0.4935492326
373	0.4933461643
374	0.4931281851
375	0.4926756381
376	0.4923638947
377	0.4923233849
378	0.4920818341
379	0.4917387061
380	0.4916290924
381	0.4913572289
382	0.4913320523
383	0.4910276693
384	0.4905143597
385	0.4903626403
386	0.4901745742
387	0.4900391758
388	0.489913037
389	0.4897217019
390	0.4892231823
391	0.4890701281
392	0.4888965442
393	0.4885630413
394	0.4883321932
395	0.4881633351
396	0.4879442811
397	0.4875999949
398	0.4870384542
399	0.4868792539
400	0.4866943708
401	0.4866177569
402	0.4864330497
403	0.4863048353
404	0.4859335692
405	0.4857685326
406	0.4856760856
407	0.4855682563
408	0.4853922019
409	0.4851622995
410	0.4845103712
411	0.4843765578
412	0.4841226271
413	0.4838291006
414	0.4834681604
415	0.4830515048
416	0.4829451291
417	0.4827103891
418	0.4824451283
419	0.4821976854
420	0.4820986387
